,time,variable,value
468,19/8/2019 18:00,0000000006dd41f6,5
469,19/8/2019 18:30,0000000006dd41f6,3
470,19/8/2019 19:00,0000000006dd41f6,1
471,19/8/2019 19:30,0000000006dd41f6,2
472,19/8/2019 20:00,0000000006dd41f6,4
473,19/8/2019 20:30,0000000006dd41f6,3
474,19/8/2019 21:00,0000000006dd41f6,2
475,19/8/2019 21:30,0000000006dd41f6,4
476,19/8/2019 22:00,0000000006dd41f6,3
477,19/8/2019 22:30,0000000006dd41f6,2
478,19/8/2019 23:00,0000000006dd41f6,4
479,19/8/2019 23:30,0000000006dd41f6,3
480,10/8/2019 0:00,000000000f4919c9,3
481,10/8/2019 0:30,000000000f4919c9,0
482,10/8/2019 1:00,000000000f4919c9,0
483,10/8/2019 1:30,000000000f4919c9,0
484,10/8/2019 2:00,000000000f4919c9,0
485,10/8/2019 2:30,000000000f4919c9,0
486,10/8/2019 3:00,000000000f4919c9,0
487,10/8/2019 3:30,000000000f4919c9,0
488,10/8/2019 4:00,000000000f4919c9,0
489,10/8/2019 4:30,000000000f4919c9,3
490,10/8/2019 5:00,000000000f4919c9,0
491,10/8/2019 5:30,000000000f4919c9,0
492,10/8/2019 6:00,000000000f4919c9,3
493,10/8/2019 6:30,000000000f4919c9,7
494,10/8/2019 7:00,000000000f4919c9,5
495,10/8/2019 7:30,000000000f4919c9,12
496,10/8/2019 8:00,000000000f4919c9,21
497,10/8/2019 8:30,000000000f4919c9,11
498,10/8/2019 9:00,000000000f4919c9,11
499,10/8/2019 9:30,000000000f4919c9,17
500,10/8/2019 10:00,000000000f4919c9,25
501,10/8/2019 10:30,000000000f4919c9,26
502,10/8/2019 11:00,000000000f4919c9,21
503,10/8/2019 11:30,000000000f4919c9,21
504,10/8/2019 12:00,000000000f4919c9,18
505,10/8/2019 12:30,000000000f4919c9,11
506,10/8/2019 13:00,000000000f4919c9,13
507,10/8/2019 13:30,000000000f4919c9,21
508,10/8/2019 14:00,000000000f4919c9,19
509,10/8/2019 14:30,000000000f4919c9,14
510,10/8/2019 15:00,000000000f4919c9,11
511,10/8/2019 15:30,000000000f4919c9,10
512,10/8/2019 16:00,000000000f4919c9,2
513,10/8/2019 16:30,000000000f4919c9,3
514,10/8/2019 17:00,000000000f4919c9,2
515,10/8/2019 17:30,000000000f4919c9,5
516,10/8/2019 18:00,000000000f4919c9,4
517,10/8/2019 18:30,000000000f4919c9,4
518,10/8/2019 19:00,000000000f4919c9,3
519,10/8/2019 19:30,000000000f4919c9,4
520,10/8/2019 20:00,000000000f4919c9,2
521,10/8/2019 20:30,000000000f4919c9,4
522,10/8/2019 21:00,000000000f4919c9,4
523,10/8/2019 21:30,000000000f4919c9,7
524,10/8/2019 22:00,000000000f4919c9,3
525,10/8/2019 22:30,000000000f4919c9,0
526,10/8/2019 23:00,000000000f4919c9,1
527,10/8/2019 23:30,000000000f4919c9,0
528,11/8/2019 0:00,000000000f4919c9,1
529,11/8/2019 0:30,000000000f4919c9,0
530,11/8/2019 1:00,000000000f4919c9,2
531,11/8/2019 1:30,000000000f4919c9,0
532,11/8/2019 2:00,000000000f4919c9,1
533,11/8/2019 2:30,000000000f4919c9,0
534,11/8/2019 3:00,000000000f4919c9,0
535,11/8/2019 3:30,000000000f4919c9,4
536,11/8/2019 4:00,000000000f4919c9,1
537,11/8/2019 4:30,000000000f4919c9,2
538,11/8/2019 5:00,000000000f4919c9,0
539,11/8/2019 5:30,000000000f4919c9,0
540,11/8/2019 6:00,000000000f4919c9,0
541,11/8/2019 6:30,000000000f4919c9,2
542,11/8/2019 7:00,000000000f4919c9,0
543,11/8/2019 7:30,000000000f4919c9,0
544,11/8/2019 8:00,000000000f4919c9,16
545,11/8/2019 8:30,000000000f4919c9,10
546,11/8/2019 9:00,000000000f4919c9,22
547,11/8/2019 9:30,000000000f4919c9,38
548,11/8/2019 10:00,000000000f4919c9,29
549,11/8/2019 10:30,000000000f4919c9,25
550,11/8/2019 11:00,000000000f4919c9,42
551,11/8/2019 11:30,000000000f4919c9,33
552,11/8/2019 12:00,000000000f4919c9,33
